Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH NURSE,2024-12-26,,94826,94826,94826
DEPT OF DESIGN & CONSTRUCTION,1,ADM ENGINEER (NON MGRL),2025-12-18,"Candidates should thoroughly understand building construction methods, materials, and systems, especially older 19th and 20th century buildings. Expertise in the forensic diagnosis of deterioration, distress, and failure issues is highly desirable, as well as an up-to-date understanding of construction and material costs. At least 3 years of prior relevant field inspection experience is required. This position requires a person with the physical ability to conduct site visits, including accessing stairs, catwalks, ladders, rooftops, and basements within multi-level buildings, and maneuver through confined spaces. The candidate must be able to communicate both verbally and in writing effectively. A valid motor vehicle driver’s license is required.",62407,104267,83337
FIRE DEPARTMENT,1,ASSOCIATE FIRE PROTECTION INSP,2026-01-30,Strong Communication Skills Ability to work nights and weekends as needed,58164,81901,70032
DEPARTMENT OF TRANSPORTATION,1,CIVIL ENGINEERING INTERN,2026-01-04,"Candidate must have strong background in AutoCAD, Acrobat and MS office suite.",59747,72352,66050
MANHATTAN COMMUNITY BOARD #7,1,DISTRICT MANAGER,2025-11-18,"•	Excellent written and verbal communication skills; computer and web skills and experience with social media and collaboration tools. •	Experience in the affairs and operations of a Community Board and its rules of governance. •	Experience in government, public policy, or urban planning. •	Ability to develop, organize and balance multiple projects.  •	Demonstrated knowledge of civic engagement strategies. •	Personal qualities that include integrity, passion for the work of the Community Board, respect for diverse constituents and the ability to inspire and motivate. •	Excellent organizational, analytical and critical thinking skills. •	Knowledge of the New York City political landscape. •	Experience working as a member of a collaborative team •	Experience administering video conference tools, specifically Zoom. •	Experience in using workplans to document workflow and task completion. •	Ability to use spreadsheets and analyze data.",95000,105000,100000
DEPT OF HEALTH/MENTAL HYGIENE,1,FAMILY PUB HEALTH NURSE (HMH),2024-02-14,,97012,97012,97012
DISTRICT ATTORNEY-MANHATTAN,1,SUMMER COLLEGE INTERN,2026-02-02,,36400,37440,36920
FINANCIAL INFO SVCS AGENCY,1,SENIOR IT ARCHITECT,2025-11-17,,100000,165000,132500
DEPT OF HEALTH/MENTAL HYGIENE,1,ACCOUNTANT,2025-11-12,,65091,75000,70046
DEPT OF ENVIRONMENT PROTECTION,1,ADM MANAGER-NON-MGRL FRM M1/M2,2022-09-16,"Considerable fiscal experience in the preparation of annual Budgets, Spending Plans, and data reports for all PS and OTPS Expense Budget activities.   •	Working knowledge of City-specific IT applications including FMS, Passport, NYC Financial Management System (FMS), etc.  •	Working knowledge of Microsoft Office Suite applications. •	Strong leadership and change management skills. •	Ability to build partnerships with Sr. Staff, managers, supervisors, and employees, and operate as a trusted advisor. •	Advanced analytical and reporting skills. •	Excellent interpersonal and communication skills.",74730,130000,102365
