Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
NYC HOUSING AUTHORITY,1,AGENCY ATTORNEY,2026-02-02,,106404,120000,113202
DEPT OF DESIGN & CONSTRUCTION,1,ADM ENGINEER (NON MGRL),2025-12-18,"Please note the following preferred skills for this position:   1.	Must have robust supervision experience.  2.	Outstanding verbal and written communication skills  3.	Proficiency in Microsoft Office and AutoCAD  4.	Knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main)  5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards  6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices  7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred)  8.	Valid driver's license (required)  9.	Personal vehicle (preferred)",62407,131871,97139
CONSUMER AND WORKER PROTECTION,1,INSPECTOR (CONSUMER AND WORKER,2025-12-10,•	Strong written and oral communication skills; •	Proficiency in Microsoft programs; •	Fluency in a language in addition to English a plus; •	Detail oriented and organized; •	Candidate must be experienced and comfortable driving any city vehicle (which may include a large vehicle) throughout the five boroughs of New York City.,49396,56805,53100
DEPT OF PARKS & RECREATION,3,COMMUNITY COORDINATOR,2026-01-09,"1.	Bachelor’s degree plus one year of satisfactory experience in contract management/procurement or construction management. 2.	Excellent writing, interpersonal, customer service and communication skills. 3.	Ability to handle multiple projects, prioritize among competing needs and respond quickly to requests for information. 4.	Excellent computer and organizational skills; proficiency in Microsoft Word, Excel and PowerPoint. 5.	Experience with the FMS, PASSPort, Procurement Policy Board Rules and/or the procurement process in government.",62868,97593,80230
DEPT OF HEALTH/MENTAL HYGIENE,1,JUNIOR PUBLIC HEALTH NURSE,2025-12-09,,100778,100778,100778
DEPT OF DESIGN & CONSTRUCTION,2,ASSISTANT CIVIL ENGINEER,2025-12-09,"Please note the following preferred skills for this position:  1.	Outstanding verbal and written communication skills 2.	Proficiency in Microsoft Office and AutoCAD 3.	Construction knowledge relevant to infrastructure projects (sewers, water mains, roadways) 4.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 5.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 6.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7.	Valid driver's license (required) 8.	Personal vehicle (optional)",66330,76279,71304
DEPARTMENT OF CORRECTION,2,CHAPLAIN,2026-01-27,,65376,75183,70279
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH NURSE,2025-07-23,,97908,97908,97908
NYC HOUSING AUTHORITY,1,ARCHITECT,2026-01-26,"1.	Excellent Revit and AutoCAD and 3-D software skills. 2.	Excellent contract package production and organizational skills. Ability to review one’s own drawings and the drawings of others. 3.	Ability to act independently, make informed decisions, manage one’s own time and coach junior staff members. 4.	Knowledge of NYC Construction Codes, Energy Codes, LPC, NYC DEP requirements, NYC Zoning Resolution, FDNY, NFPA, CSI and related applicable reference Codes and Standards. 5.	Expertise in design for renovations of residential buildings, replacement of roofs, community centers, and commercial spaces. 6.	Understanding of materials, construction processes, architectural systems including roofing and methodologies, building façade / Local Law 11. 7.	Excellent written and verbal communication skills, as well as interpersonal skills. 8.	Experience developing presentations to project teams and clients. 9.	LEED AP certification, Enterprise Green Communities criteria, Passive House certification and other high-performance building experience are considered a plus.  Key Competencies  1.	Exemplary Communication Skills 2.	Collaborative Approach 3.	Analytical Problem Solver",105000,114000,109500
DEPARTMENT OF INVESTIGATION,1,SPECIAL INVESTIGATOR,2025-12-17,"o	At least four years of professional experience conducting research into or reviews and analysis of public policy. o	Degree in the social sciences or related field. o	Strong interpersonal and management skills. o	Excellent organizational and time management skills. o	Knowledge of, and demonstrated interest in criminal justice, law enforcement or police accountability issues. o	Strong writing and oral presentation skills to communicate investigative findings and analysis in an objective, clear, effective, and compelling manner. o	Experience with qualitative and quantitative data analyses, a plus o	Familiarity with New York City government and NYPD procedures a plus. o	Ability to comprehend and analyze complex issues, data, and policy issues. o	Demonstrated flexibility and ability to thrive in a dynamic work environment.",40000,106912,73456
BRONX DISTRICT ATTORNEY,3,ASSISTANT DISTRICT ATTORNEY (S,2026-01-06,,97000,178000,137500
HRA/DEPT OF SOCIAL SERVICES,1,ASSOCIATE BENEFITS OPPORTUNITY,2025-12-19,,58377,67134,62756
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE STAFF ANALYST,2025-12-10,"Candidates should have excellent organizational, interpersonal, verbal, written, and analytical skills. Proficiency using Microsoft Word, Excel, and Access queries and reports is a plus. Working knowledge of procurement functions, entering, and retrieving data from automated information systems, PASSPort, Financial Management System (FMS), and Infoadvantage, is preferred. Significant training from the Mayor’s Office of Contract Services Procurement Training Institute in the City’s Procurement rules is preferred.",82056,94364,88210
HRA/DEPT OF SOCIAL SERVICES,1,PRINCIPAL ADMINISTRATIVE ASSOC,2026-01-12,"• Proficiency in MS Office Suite-MS Word, MS Excel, Visio, MS Project & PowerPoint.  • Excellent verbal and written Communication Skills and Interpersonal Skills.  • Ability to prepare clear, concise, and impactful documents, memos, and talking points.  • Ability to maintain/manage calendars.  • Strong judgment in handling sensitive and confidential information.  • Drafting executive briefs, presentations, reports, and correspondence for senior leadership and external stakeholders.  • Attention to detail and multi-tasking.",66062,75971,71016
DEPT OF DESIGN & CONSTRUCTION,1,ADM CONSTRUCTION PRJ MGR-NM,2025-12-18,"The candidates should have the ability to manage; complete multiple multi-trade projects on schedule; possess strong computer, organizational, verbal, and written communication skills. Detail-orientation is required. Familiarity with securing approvals and signoff from regulatory agencies such as DOB and FDNY, and multiple project delivery methodologies is preferred.",60443,107412,83928
MAYORS OFFICE OF CONTRACT SVCS,1,COLLEGE AIDE (ALL CITY DEPTS),2025-12-10,,36400,37440,36920
DEPT OF HEALTH/MENTAL HYGIENE,1,SUPERVISOR II SOCIAL WORK,2025-12-16,,77211,92000,84606
DEPT OF ENVIRONMENT PROTECTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,2026-01-26,,61656,89625,75640
OFFICE OF CRIMINAL JUSTICE,2,EXECUTIVE AGENCY COUNSEL,2024-01-25,"Supervisory and management experience preferred.  Extensive legal experience combined with being an effective self-starter, possessing both the capacity for independence and the ability to work cooperatively to advance the goals of the ACP.   Proven ability to establish and maintain effective working relationships with a wide range of entities from government agencies, other prosecutorial and regulatory bodies, and community organizations.  Effective and creative leadership ability with the capacity to work both independently and cooperatively to implement key strategies, evaluate new policies and analyze new legislation.",72038,175000,123519
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT MECHANICAL ENGINEER,2025-10-23,,66330,99528,82929
DEPT OF HEALTH/MENTAL HYGIENE,1,SR HEALTHCARE PROG PLAN ANLYST,2025-11-26,,65803,65803,65803
DEPT OF ENVIRONMENT PROTECTION,1,ENVIRONMENTAL ENGINEER,2025-12-19,"•	The ideal candidate has 7-10 years of experience in design and review of stormwater management practices, site and facility inspections for stormwater, water quality and/or erosion control          projects. Experience in green infrastructure planning; layout and details of contract drawings, specifications; shop drawing review; field inspections and investigations •	Basic experience with ArcGIS and AutoCAD, as well as high proficiency with Microsoft Suite applications (Word, Excel, PowerPoint, etc.), are highly desired.  •	Knowledge of applicable stormwater regulatory requirements and local guidelines. •	Excellent communication, negotiation, and conflict resolution skills are highly desired •	Experience with contract management, development of scopes, project scheduling, and budget tracking, having a PMP certification is strongly preferred.  •	Independently performs all the tasks necessary to complete primary design elements for engineering works. •	Ability to lead and mentor technical design teams to prepare planning studies, engineering estimates, design, and quality reviews for municipal water and wastewater integrated Green          Infrastructure and resiliency programs •	Able to assess consultant/contractor performance based on contract requirements. •	Able to evaluate project progress regularly in terms of potential impacts to schedule compliance. •	Understand schedule implications of change orders and recovery plans. •	Experience with detail site layout and grading; drainage and stormwater management design. •	Familiarity with pollutants of concern commonly associated with municipal facilities and operations, stormwater best management practices (BMPs), green infrastructure and low impact          development is a plus.  •	Have a detailed understanding of permitting, equipment and materials, codes and standards, shop/field testing.  •	Able to review, interpret and approve complex contract documents.  •	Knowledge of engineering design and construction industry standards and practices as well as environmental engineering operations and processes for water resources, drainage, and              wastewater resource recovery facilities.  •	Possession of a motor vehicle driver license valid in the State of New York with no restrictions. This license must be maintained for the duration of employment.",104720,141970,123345
DEPARTMENT OF PROBATION,1,ASSOCIATE STAFF ANALYST,2026-01-12,"- Detail-oriented & high-level organizational skills.  - The ability to exercise independent judgment & manage multiple priorities.  - Ability to communicate effectively in verbal and written form.  - Expertise in Excel, Word, PowerPoint, and other Microsoft programs.  - Ability to compile reports and prepare presentations.",82056,122180,102118
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH SANITARIAN,2025-12-30,,53132,53132,53132
HOUSING PRESERVATION & DVLPMNT,1,ASSOCIATE INSPECTOR (HOUSING),2026-01-30,,78908,90744,84826
DEPARTMENT OF TRANSPORTATION,1,INVESTIGATOR,2023-08-24,"Excellent verbal, communication and computer skills strongly desired.",51606,82401,67003
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE SUPERVISOR OF B,2025-11-24,,68213,98317,83265
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2025-11-05,"Candidates should have at least six years of experience working with complex design and construction project management, schedule management, and cost management. Candidates should have the ability to manage construction managers complete multiple multi-trade projects on schedule possess a strong organizational, computer, verbal, and written communication skills and must be attentive to details.",86749,99761,93255
DEPT OF DESIGN & CONSTRUCTION,1,IT PROJECT SPECIALIST,2026-01-16,"Candidates should have at least five (5) years of experience leading enterprise level software development projects.  Have excellent written and verbal communication skills and the ability to understand business requirements and document them into functional specifications. Proficiency in one or more PM software applications (MS Project) and Visio skills to create workflows based on business needs. Strong process methodology with a preference for Agile/Scrum; the ability to translate a given design and or business strategy into a detailed execution plan, and lead others to gather all pertinent information critical to the success of the project is a plus. Candidates with solid attention to detail, as well as multi-tasking skills, accuracy, and quality skills, along with a high level of organizational awareness is preferred. Candidates must be structured and ordered, be concise, detailed, and well-structured at notetaking, and possess strong conflict resolution and negotiation skills. PMP certification or similar preferred.",75000,127830,101415
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE CONSTRUCTION PR,2026-01-06,"Please note the following preferred skills for this position: 1.	Candidate should have at least four (4) years of experience in construction management, administration, or supervision.  2.	Must have robust supervision experience. 3.	Outstanding verbal and written communication skills in English. 4.	Proficiency in Microsoft Office. 5.	Knowledge relevant to infrastructure construction work (i.e., roadway, sewer, and/or water main) 6.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 7.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 8.	Envision Sustainability Professional (ENV SP) credential (Preferred) 9.	Valid driver's license (Required) 10.	Personal vehicle (Preferred)",75443,153210,114326
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY ASSOCIATE,2026-01-26,,44545,65249,54897
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-04-30,,50128,57637,53882
DEPT OF HEALTH/MENTAL HYGIENE,1,INVESTIGATOR,2025-10-20,"- Excellent oral, written and interpersonal communication skills.  - Highly organized, strong attention to detail, and solution oriented.  - Ability to multitask in a fast-paced environment.  - Working knowledge of childcare regulations desired but not required.  - Experience with data entry and querying large datasets a plus.",48206,55437,51822
DEPT OF DESIGN & CONSTRUCTION,2,SUMMER COLLEGE INTERN,2026-01-08,Preference will be given to candidates who are pursuing an undergraduate degree in Civil Engineering.,34320,35360,34840
BRONX DISTRICT ATTORNEY,1,COMMUNITY COORDINATOR,2026-01-09,"- Experience with an understanding of victimology and knowledge of trauma informed care.   - Fluent Spanish speaker preferred.  - Experience and ability to provide confidential clinical therapeutic mental health services required.  - Familiarity with general court services and criminal law enforcement processes preferred.  - Ability to both interact and be comfortable with a diverse population.  - Exceptional organizational skills and strong attention to detail.  - Excellent interpersonal, oral, and written communication skills.  - Proficient in Microsoft Office particularly Word, Excel, and Outlook.  - Ability to work in a fast-paced environment.",79761,79761,79761
DEPT OF ENVIRONMENT PROTECTION,1,CITY RESEARCH SCIENTIST,2025-11-14,"The ideal candidate will have experience with New York City environmental review processes, familiarity with NYC infrastructure, land use procedures, and permitting, with at least three years of professional experience in SEQRA/CEQR analysis and/or project management, and familiarity with DEP’s wastewater systems and the City’s land use and zoning process. This position will be part of a highly dynamic team working on a range of complex tasks simultaneously. The most suitable candidate would also possess the following skills:  • Ability to carry out assigned tasks decisively and accurately and work effectively in a team • Maintain organized records • Excellent written and oral communication • Excellent analytical and research skills and concise reporting skills • Maintain principal involvement while adapting to differing approaches on various assignments • Ability to exercise judgment in the critical analysis of the work of a wide variety of specialized environmental consultants • Ability to work with multiple senior managers and staff teams, while supervising the work of consultants to help achieve the strategic vision of the Department. • Deal diplomatically with the public, governmental officials, professional and technical persons, and other City employees.",87743,110120,98932
DEPT OF ENVIRONMENT PROTECTION,1,WATERSHED MAINTAINER,2026-01-24,"• General Familiarity of MS Office suites and MS outlook  • Ability to navigate CityTime timekeeping program.  • Ability to learn how to use a computerized maintenance management system and a computer tablet to receive work orders and input data.  • Ability to carry out responsibilities with minimal supervision, demonstrating reliability and initiative  • Ability to manage workloads efficiently by prioritizing tasks and meeting deadlines across multiple assignments  • NYSDOH Water Treatment Plant Operator License  • NYSDEC Pesticide Applicator Certification  • Ability to work with hand or power tools    • Ability to keep good, clear written and electronic records   • Ability to operate motor vehicles and motor-powered equipment",47684,69745,58714
LANDMARKS PRESERVATION COMM,1,ADMINISTRATIVE LANDMARKS PRESE,2026-01-25,,95000,95000,95000
DEPT OF DESIGN & CONSTRUCTION,1,COMMUNITY COORDINATOR,2026-01-30,"A valid Motor Vehicle Driver’s License is essential, as well as the ability to travel throughout the five boroughs of NYC. Familiarity with the City’s Street infrastructure and public building systems. Experience working with diverse communities, cultures, and ethnicities. Ability to work in a fast-paced, high volume work environment. Computer skills with emphasis on Microsoft Word, publisher, PowerPoint, and photographic equipment for production of project-related videos. Strong written and verbal presentation skills are required.",62868,82154,72511
DEPT OF ENVIRONMENT PROTECTION,7,Associate Air Pollution Inspr,2025-10-23,"The selected candidates should have experience in handling, operation, testing, designing or maintaining of air, noise control and fuel burning equipment. The most suitable candidate would also possess the following skills:  • The ability to climb stairs and ladders and engage in extensive walking at facilities being inspected including those under construction and renovation while following all mandated safety procedures.   • Must be familiar with current various computer software programs, and be able to adapt to, and grow with our future web based programs and applications.",60661,85416,73038
DISTRICT ATTORNEY-MANHATTAN,3,RACKETS INVESTIGATOR,2026-01-06,,64067,64067,64067
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY ASSOCIATE,2025-12-13,,44545,51227,47886
DEPT OF HEALTH/MENTAL HYGIENE,1,SPECIAL OFFICER,2026-01-15,,39206,39206,39206
HRA/DEPT OF SOCIAL SERVICES,1,ADMINISTRATIVE DIRECTOR OF SOC,2025-12-08,"· Ability to take independent responsibility for oversight of tasks and projects to ensure necessary actions are taken and deadlines are met.  · Knowledge of HRA data and welfare management systems and various systems such as CARES, CURRENT, PASSPort.  · Advanced proficiency and knowledge of and other systems Microsoft Excel, Word, Outlook and PowerPoint.  · Experience with supervision of subordinate staff.  · Ability to assess impact of policies and procedures and plan proactively.  · Strong writing and analytical skills.",68214,73561,70888
OFFICE OF LABOR RELATIONS,1,CITY RESEARCH SCIENTIST,2026-01-13,"Required Qualifications •	Master’s Degree in a mental health field (i.e. social work, mental health counselor).   •	New York State Licensure.   •	Supervisory experience •	Candidates must be able to accommodate a flexible work schedule, (11am-7pm shift)  Preferred Qualifications:  •	Experience in trauma work, substance use treatment, crisis-intervention and group work. •	Public speaking, presentation and workshop development and execution. •	3 or more years post graduate experience in a mental health field. •	Writing Skills •	Familiarity of NYC agencies and employee populations.",87743,110120,98932
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2026-01-20,"•	Exceptional organizational skills; •	Excellent computer skills, including MS Word, Excel, Outlook and PowerPoint; •	Demonstrated aptitude and a power-user with online research platforms or research databases, technology and the internet; •	Ability to take ownership of projects and processes and work independently; •	Strong analytical, problem-solving and time management skills; •	Strong aptitude for research, due diligence and attention to detail, to ensure accuracy of work product; •	Experience handling multiple priorities with competing deadlines; •	Excellent verbal and written communication skills; •	Legal or research background desired; •	Ability to read and understand laws, rules and regulations; •	Experience working with attorneys strongly desired; and •	Proficiency in Microsoft Office, Adobe Professional, Westlaw and other legal-related software programs.",46503,61525,54014
DEPT OF ENVIRONMENT PROTECTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,2025-12-19,Preferred Skills:  1.  Working in a high-volume Call Center. 2. Supervisory experience. 3. Knowledge of Bureau of Customer Services Call Center software (i.e. Cisco or Calabrio). 4. Monitoring Call Center metrics and service levels and make adjustments as needed.,66062,100958,83510
DEPARTMENT OF CORRECTION,1,DIRECTOR OF PUBLIC AFFAIRS,2026-01-06,,145000,145000,145000
DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEERING INTERN,2026-02-02,,59747,72352,66050
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT ELECTRICAL ENGINEER,2026-01-27,"•	Electrical engineering principles and their application •	Experience in the wastewater industry •	Familiarity with AutoCAD, MS Project, MS Words, MS Excel, and E-Gordian software •	Ability to communicate effectively both orally and in writing to technical and non-technical staff •	Strong technical writing and communication skills •	A valid NYS Driver's License which must be maintained for the duration of employment",66330,99528,82929
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,2025-01-06,,84981,97728,91354
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-03-05,,50128,57637,53882
DEPT OF ENVIRONMENT PROTECTION,1,ADM MANAGER-NON-MGRL FRM M1/M2,2023-01-18,"Experience using Excel to analyze data and draw conclusions; experience creating PowerPoint presentations involving numerical and financial data, including the use of charts and data tables.  Experience managing projects and coordinating activities involving multiple City and State agencies.",74730,140000,107365
DEPT OF ENVIRONMENT PROTECTION,2,PRINCIPAL ADMINISTRATIVE ASSOC,2022-11-25,Strong Customer Service Experience  Supervisory experience Knowledge of UMAX & PARIS Monitoring Borough Office Metrics & making adjustments as necessary,53057,77124,65090
DEPT OF ENVIRONMENT PROTECTION,1,MECHANICAL ENGINEER,2026-02-02,,78740,114033,96386
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY ASSOCIATE,2026-01-30,,44545,51227,47886
DEPT OF ENVIRONMENT PROTECTION,1,CONSTRUCTION PROJECT MANAGER,2026-01-23,"***Note: Candidates must specify for each construction project they worked on a description of the construction project, the time period they worked on the construction project, and the type of work they performed. Candidates must also specify the money allotted for the project.  Driver License Requirement: At the time of appointment to this position, you must have a motor vehicle driver license valid in the State of New York. If you have moving violations, license suspension or an accident record, you may be disqualified. This license must be maintained for the duration of your employment. ***  1.Bachelor’s degree in engineering (Civil, Mechanical and Electrical) or BSc in Construction Management 2.Familiarity with facilities, equipment and processes related to wastewater treatment. 3.Effective Judgment & Decision Making; reviewing information to develop and evaluate the relative costs and benefits of potential solutions to problems and choosing the most appropriate one. 4.Quantitative Analysis & Interpretation: reviewing information to develop and evaluate the relative costs and benefits of potential solutions to problems and choosing the most appropriate one. 5.Written Expression: the ability to effectively communicate information and ideas in written words. 6.Proficiency with Microsoft Word, Excel and PowerPoint 7.Excellent interpersonal and team skills 8.Construction Management Knowledge",83743,141970,112856
DEPT OF DESIGN & CONSTRUCTION,2,CIVIL ENGINEERING INTERN,2025-12-23,"Please note the following preferred skills for this position: 1.	Outstanding verbal and written communication skills 2.	Proficiency in Microsoft Office and AutoCAD 3.	Construction knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main) 4.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 5.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 6.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7.	Valid driver's license (required) 8.	Personal vehicle (optional)",59747,68709,64228
DEPARTMENT OF CITY PLANNING,1,PRINCIPAL ADMINISTRATIVE ASSOC,2025-12-16,"- Excellent organizational skills and attention to detail  - Strong inter-personal skills - Effective verbal and written communication skills - The ability to manage multiple time-sensitive projects, and to coordinate with various parties to help complete them - Experience with legal, compliance operations, and/or document management (strongly preferred) - Experience with eDiscovery tools (preferred)",66062,75971,71016
DEPT OF ENVIRONMENT PROTECTION,1,COMMUNITY COORDINATOR,2025-11-10,"ESSENTIAL SKILLS  The most suitable candidate will possess the following skills: • Strong written and oral communication skills. • Ability to use a computer to organize and analyze data. • Ability to work well with other staff and the public. • Experience with Word, Excel, and PowerPoint.  PREFERRED SKILLS  • Prior experience presenting to the public. • Prior experience in supporting regulatory compliance efforts.",62868,97593,80230
OFFICE OF LABOR RELATIONS,1,CITY RESEARCH SCIENTIST,2026-01-15,"•	Experience in trauma work, substance use treatment, crisis-intervention and group work. •	Public speaking, presentation and workshop development and execution. •	3 or more years of post-graduate experience in a mental health field. •	Familiarity of NYC agencies and employee populations.",87743,110120,98932
DEPT OF DESIGN & CONSTRUCTION,1,ASSISTANT CIVIL ENGINEER,2025-12-30,"Candidates should have at least five years of experience managing complex design and construction projects, including schedule, risk, and cost management experience. Candidates should possess excellent management and organizational skills. Candidates should possess strong verbal and written communication skills and demonstrate ability to work in a team setting. Candidates should demonstrate an ability to balance multiple priorities and perform tasks across multiple projects at various stages of development and implementation. Proficiency in MS Office is preferred, and familiarity with Bluebeam is preferred.",66330,97206,81768
DISTRICT ATTORNEY-MANHATTAN,1,PRINCIPAL ACCOUNTANT INVESTIGA,2025-12-05,,108601,122456,115528
OFFICE OF THE COMPTROLLER,1,CLAIM SPECIALIST,2025-12-17,"- Demonstrated  analytical skills; - Strong negotiation skills preferred; - Attention to detail, excellent organizational skills, and the ability to multi-task and manage multiple priorities with minimal supervision; - Basic understanding of the process/relationship between the Comptroller's office and the Law Department with respect to lawsuits.  - Excellent interpersonal skills, and the ability to communicate effectively orally and in writing (includes Microsoft Office Suite proficiency) with all claimants and agency personnel.",59359,68263,63811
DEPARTMENT OF TRANSPORTATION,1,ASSOCIATE PROJECT MANAGER,2025-12-13,Ability to perform inspections in all weather conditions which will include nights and weekends.  A strong background in AutoCAD and MS office suite are required. Ability to drive city owned vehicle. Preference will be given to those with a Motor Vehicle Driver’s License valid in the State of New York which may be required for certain assignments. This license must be maintained for duration of appointment.,86749,127143,106946
DISTRICT ATTORNEY-MANHATTAN,10,COMMUNITY ASSOCIATE,2026-01-21,,52110,52110,52110
DEPT OF HEALTH/MENTAL HYGIENE,1,STOCK WORKER,2025-09-23,,40321,54000,47160
DISTRICT ATTORNEY-MANHATTAN,1,COMMUNITY ASSOCIATE,2025-12-29,,52110,52110,52110
DEPT OF DESIGN & CONSTRUCTION,1,CIVIL ENGINEERING INTERN,2025-12-23,"Please note the following preferred skills for this position:  1.	Outstanding verbal and written communication skills 2.	Proficiency in Microsoft Office and AutoCAD 3.	Construction knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main) 4.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 5.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 6.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7.	Valid driver's license (required) 8.	Personal vehicle (preferred)",59747,68709,64228
NYC FIRE PENSION FUND,1,DEPUTY EXECUTIVE DIRECTOR (FDN,2026-01-12,"Strong management and leadership skills; strong analytic and planning skills. Excellent writing, communication, and interpersonal skills. Well organized, assertive, and able to work independently and collaboratively. Excellent attention to detail and ability to handle all matters with utmost discretion. Ability to work under pressure, while juggling multiple tasks simultaneously",124026,280567,202296
NYC HOUSING AUTHORITY,1,COMMUNITY ASSOCIATE,2026-01-20,"1.     Excellent interpersonal and communication skills. 2.     Effective skills in engaging residents. 3.     Ability to interface with service providers from all sectors of the service system. 4.     Excellent organizational skills. 5.     Ability to work collaboratively with cross-functional teams. 6.     Experience in MS Office - Access, Excel, PowerPoint, and Word. 7.     Bilingual a plus.",44545,51227,47886
FIRE DEPARTMENT,1,MANAGER OF RADIO REPAIR OPERAT,2025-10-24,"1.	A First Class Federal Communications Commission (FCC) Radiotelephone License with radar endorsement 2.	Ten years recent experience including at least 5 years in the area of management and administration in the repair and maintenance of communications equipment. Handie-Talkies (Portables), intercoms, medical telemetry radio systems, public address systems, subway communications systems, etc. or 3.	A satisfactory equivalent combination of education, training and experience. Applicants should also demonstrate the ability to manage and instruct personnel. Personnel seeking this position shall have served a minimum of 2 years in the title of Supervisor of Radio Repair Operations.  4.	The ideal candidate must demonstrate strong leadership skills with the ability to motivate and manage diverse teams in a fast-paced environment. Exceptional multitasking abilities are essential, as the role requires balancing strategic oversight with day-to-day operational demands across multiple functions",68213,187716,127964
DEPT OF ENVIRONMENT PROTECTION,2,ASSOCIATE CHEMIST,2025-12-09,,61502,90063,75782
DISTRICT ATTORNEY-MANHATTAN,10,COMMUNITY ASSOCIATE,2026-01-09,,52110,52110,52110
BOROUGH PRESIDENT-QUEENS,1,COMMUNITY ASSOCIATE,2026-01-26,,44545,74134,59340
DEPARTMENT OF TRANSPORTATION,1,CIVIL ENGINEER,2026-01-13,"1) Four years of full-time satisfactory experience in civil engineering work. A master’s degree in civil engineering from an accredited college may be substituted for one year of civil engineering experience. To be appointed to a Civil Engineering position in Bridges, candidate must possess one year of civil engineering experience in bridge design, bridge construction, bridge maintenance, or bridge inspections.  2) Have strong background in AutoCAD, Acrobat and MS office suite.  3) Ability to drive city owned vehicle. Preference will be given to those with a Motor Vehicle Driver’s License valid in the State of New York; this license may be required for certain assignments. If required, this license must be maintained for duration of appointment.  4.) Must be organized and be able to effectively and professionally communicate.  5.) Must be able to compose formal letters and emails",104720,141970,123345
LAW DEPARTMENT,1,ASSISTANT CORPORATION COUNSEL,2026-01-23,,228647,228647,228647
DISTRICT ATTORNEY-MANHATTAN,1,COMMUNITY ASSOCIATE,2026-01-22,,52110,55284,53697
DEPARTMENT OF CITY PLANNING,1,SUMMER GRADUATE INTERN,2026-01-29,"Applicants must be a matriculated student in an accredited law school to apply. While this internship will be in-person, all candidates will need access to a computer and internet connection to participate in this program in the event that remote access is required. Interns must be residents of New York City for the duration of the internship program.",39520,39520,39520
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,2025-12-09,,74536,74536,74536
BRONX DISTRICT ATTORNEY,1,ASSISTANT DISTRICT ATTORNEY (S,2025-12-15,,150000,188000,169000
DEPT OF DESIGN & CONSTRUCTION,1,INDUSTRIAL HYGIENIST,2025-12-04,"The candidate must have excellent organizational, verbal, and written skills. Construction-related experience and practical working knowledge of safety requirements (OSHA, DOB, DEP) are preferred.",55073,69666,62370
DEPT OF YOUTH & COMM DEV SRVS,1,CITY RESEARCH SCIENTIST,2025-11-21,"- Strong facilitation skills and experience conducting trainings for adult participants.  - Proven record of establishing strategic relationships quickly and effectively.  - Excellent project management skills, including ability to develop and manage processes involving multiple stakeholders and deadlines.  - Experience using DYCD Connect and other DYCD or City systems.  - Expertise in video editing software and document design software to create resources.",87743,110120,98932
OFFICE OF LABOR RELATIONS,1,CERTIFIED IT ADMINISTRATOR (LA,2026-01-15,,95233,129375,112304
